method,regime,protocol,coordinate,family_macro_mean,family_macro_median
cauchy,generalized_translation,bounce,0,N/A,N/A
cauchy,generalized_translation,bounce,1,N/A,N/A
cauchy,generalized_translation,bounce,2,0.013525971858231641,0.0035337778855298245
cauchy,setup_translation,multiple_forces,0,0.03998505371704594,0.03514024689665801
cauchy,setup_translation,multiple_forces,1,0.04470265565427957,0.03548256151593001
cauchy,setup_translation,multiple_forces,2,N/A,N/A
cauchy,setup_translation,unforced_slide,0,N/A,N/A
cauchy,setup_translation,unforced_slide,1,0.013213113706928487,0.009902907232114044
cauchy,setup_translation,unforced_slide,2,N/A,N/A
cauchy,setup_translation,bounce,0,N/A,N/A
cauchy,setup_translation,bounce,1,N/A,N/A
cauchy,setup_translation,bounce,2,0.003943116975709359,0.002995275509944184
profile_map,generalized_translation,multiple_forces,0,0.03818510062937114,0.030855051110759316
profile_map,generalized_translation,multiple_forces,1,0.04293570167517817,0.0357856219371089
profile_map,generalized_translation,multiple_forces,2,N/A,N/A
profile_map,generalized_translation,unforced_slide,0,N/A,N/A
profile_map,generalized_translation,unforced_slide,1,0.01309253643290441,0.010375990968428783
profile_map,generalized_translation,unforced_slide,2,N/A,N/A
profile_map,generalized_translation,bounce,0,N/A,N/A
profile_map,generalized_translation,bounce,1,N/A,N/A
profile_map,generalized_translation,bounce,2,0.006974082653368986,0.0032132642994214472
profile_map,setup_translation,multiple_forces,0,0.03818510062937114,0.030855051110759316
profile_map,setup_translation,multiple_forces,1,0.04293570167517817,0.0357856219371089
profile_map,setup_translation,multiple_forces,2,N/A,N/A
profile_map,setup_translation,unforced_slide,0,N/A,N/A
profile_map,setup_translation,unforced_slide,1,0.01309253643290441,0.010375990968428783
profile_map,setup_translation,unforced_slide,2,N/A,N/A
profile_map,setup_translation,bounce,0,N/A,N/A
profile_map,setup_translation,bounce,1,N/A,N/A
profile_map,setup_translation,bounce,2,0.0039398141908916435,0.002995312135415437
