episode,regime,protocol,converged,calls,boundary,nuisance_rank,nuisance_dim,objective
2d8340c30f530c58a619d6f9,generalized_translation,multiple_forces,True,17,False,2,2,1.9709806123989952
2da952beba5996187f2278a8,generalized_translation,multiple_forces,True,7,False,2,2,0.33217713571449864
2dbe019532972333f4943316,generalized_translation,bounce,True,14,False,3,3,29.288462525909818
2dbe019532972333f4943316,setup_translation,bounce,True,5,False,1,1,1.1554612825093376
2dce9ec9390790d36eba5104,generalized_translation,unforced_slide,True,9,False,2,2,0.7171123720849212
2df4dce9782b329a03207466,generalized_translation,unforced_slide,True,8,False,2,2,0.7537025216296509
2e19416a898af081a5520474,generalized_translation,bounce,True,5,False,3,3,0.5163568769772877
2e19416a898af081a5520474,setup_translation,bounce,True,4,False,1,1,1.2537274859137086
2e43ffecd0c1d7a5b2f197af,generalized_translation,multiple_forces,True,29,False,2,2,3.2660095683233834
2e662b3dae6373004eaf059a,generalized_translation,multiple_forces,True,22,False,2,2,1.464767235251837
2e6d1ce70ef5bedee2dd8ad2,generalized_translation,multiple_forces,True,14,False,2,2,1.5952517259725139
2e85aed3f7ad32b1eb62b4fe,generalized_translation,unforced_slide,True,8,False,2,2,0.08952030381864408
2ecdf7a69f27bf9cb5a16566,generalized_translation,unforced_slide,True,8,False,2,2,1.0462457821735658
2f2626ab3fce9e29a0edaf02,generalized_translation,unforced_slide,True,8,False,2,2,0.824396143498903
2f7993ca7092ba0cb23671a2,generalized_translation,multiple_forces,True,11,False,2,2,1.8766532110975103
2f8e76e6dbb25fe0f1af41ed,generalized_translation,multiple_forces,True,9,False,2,2,1.6664130256012426
2fa64162e4403590ad89104b,generalized_translation,unforced_slide,True,6,False,2,2,0.16077273099548792
2fd4af82e6f9a419bff7adbf,generalized_translation,bounce,True,5,False,3,3,0.08611491095264025
2fd4af82e6f9a419bff7adbf,setup_translation,bounce,True,3,False,1,1,0.4355591925698689
2fe71ac77b88ee5c20d5a861,generalized_translation,multiple_forces,True,7,False,2,2,0.47083453800272146
3058acbb47953dc5f20e84d2,generalized_translation,unforced_slide,True,11,False,2,2,2.477743974836476
31541b42633d286d68d46149,generalized_translation,multiple_forces,True,10,False,2,2,2.1373378363212794
316940af74967304994bb5e3,generalized_translation,multiple_forces,True,10,False,2,2,1.4835141143169195
31bad7fe83273e85c4e4f255,generalized_translation,unforced_slide,True,13,False,2,2,0.4501807866916034
31c615bc7a7f12ab15d5fa1b,generalized_translation,bounce,True,7,False,3,3,0.4714980585267714
31c615bc7a7f12ab15d5fa1b,setup_translation,bounce,True,5,False,1,1,1.7212746127169334
31e1d4504c42819c0c89a05b,generalized_translation,multiple_forces,True,15,False,2,2,2.087639594461097
323a1e24bea553aa8f4f96c5,generalized_translation,unforced_slide,True,8,False,2,2,2.1045653225421876
3255dcd60f03b9a7f774bfd0,generalized_translation,multiple_forces,True,12,False,2,2,0.9374111595317384
325990468288638b2b66831e,generalized_translation,unforced_slide,True,11,False,2,2,1.0349801753228332
32f6d5d61193a3969b091770,generalized_translation,bounce,True,7,False,3,3,1.5256311330084051
32f6d5d61193a3969b091770,setup_translation,bounce,True,5,False,1,1,1.8492995535813759
33925304add24a952a756755,generalized_translation,unforced_slide,True,13,False,2,2,0.19766300233076406
3397426c84dfaf749ba59f7c,generalized_translation,bounce,True,12,False,3,3,0.32183222563173686
3397426c84dfaf749ba59f7c,setup_translation,bounce,True,18,False,1,1,0.8559166288994046
