metric,comparison,difference_mm,low95_mm,high95_mm,p_signflip,n_families,p_holm
family action MAE,support_direct_visual_target minus original_full,0.022246014934011342,-0.002761197305233314,0.046447884426657864,0.0847957602119894,72,1
family action MAE,support_direct_visual_target minus original_numeric,0.006598092436501759,-0.02700772035761525,0.041238934284141104,0.7099645017749112,72,1
family action MAE,support_no_clipping minus original_full,0.03094198237954114,-0.0002983944681643562,0.07941585742470202,0.17174141292935352,72,1
family action MAE,support_no_clipping minus original_numeric,0.015294059882031549,-0.022719277735930306,0.0652329807244513,0.5332233388330584,72,1
family action MAE,support_no_bounce_fallback minus original_full,0.041649143984301716,0.030619150240393325,0.05224954303440752,4.999750012499375e-05,72,0.0029498525073746312
family action MAE,support_no_bounce_fallback minus original_numeric,0.02600122148679213,0.00829080693792145,0.04412135151830124,0.005649717514124294,72,0.1638418079096045
family action MAE,huber minus original_full,0.4616979463069236,0.26689422043687305,0.6658081620721708,4.999750012499375e-05,72,0.0029498525073746312
family action MAE,huber minus original_numeric,0.446050023809414,0.2500779746460157,0.6517985611232292,4.999750012499375e-05,72,0.0029498525073746312
family action MAE,cauchy minus original_full,0.4602048950825415,0.26614154132081014,0.6633358216079701,4.999750012499375e-05,72,0.0029498525073746312
family action MAE,cauchy minus original_numeric,0.44455697258503185,0.24918297282445256,0.6497995901830719,4.999750012499375e-05,72,0.0029498525073746312
family action MAE,profile_map minus original_full,0.37002656035189685,0.18024250293376418,0.5619906643624578,0.0004999750012499375,72,0.016999150042497874
family action MAE,profile_map minus original_numeric,0.35437863785438733,0.16302113981562133,0.5471743267126288,0.0008499575021248938,72,0.028048597570121493
family action MAE,pooled minus original_full,0.014339059312402357,0.004901046431235141,0.02370897829823442,0.0038498075096245186,72,0.11549422528873556
family action MAE,pooled minus original_numeric,-0.001308863185107227,-0.018747005657011186,0.01724110728461736,0.8869556522173891,72,1
family action MAE,position minus original_full,-0.002004891755356451,-0.014553810531113378,0.009483668770081092,0.752612369381531,72,1
family action MAE,position minus original_numeric,-0.017652814252866036,-0.03107240110875065,-0.005256997551828001,0.007749612519374031,72,0.20923953802309883
family action MAE,deduplicated_numeric minus original_full,-0.02680670943559947,-0.04838731228230995,-0.006902311049874547,0.013349332533373332,72,0.3337333133343333
family action MAE,deduplicated_numeric minus original_numeric,-0.042454631933109055,-0.070977897961107,-0.015679735739282864,0.0023498825058747065,72,0.0751962401879906
family action MAE,crossfit_visual minus original_full,-0.001501751079149566,-0.0045798280847538595,0.001510790637741364,0.3415829208539573,72,1
family action MAE,crossfit_visual minus original_numeric,-0.01714967357665915,-0.034173085757781635,0.0008822940133761347,0.05979701014949253,72,1
family action MAE,direct_ridge minus original_full,31.949737990051045,28.73617802674549,35.323440276751676,4.999750012499375e-05,72,0.0029498525073746312
family action MAE,direct_ridge minus original_numeric,31.934090067553534,28.722101097596195,35.31223164539973,4.999750012499375e-05,72,0.0029498525073746312
family action MAE,direct_mlp minus original_full,25.036111282041418,22.436866262833096,27.76706499798488,4.999750012499375e-05,72,0.0029498525073746312
family action MAE,direct_mlp minus original_numeric,25.02046335954391,22.42042052704693,27.754075168001982,4.999750012499375e-05,72,0.0029498525073746312
family action MAE,vjepa_original minus original_full,0.017493345377896517,-0.0012499637463759484,0.03510327653127976,0.062096895155242235,72,1
family action MAE,vjepa_original minus original_numeric,0.0018454228803869324,-0.009424425187426231,0.012719619138664562,0.7468626568671567,72,1
family action MAE,numeric87 minus original_full,-0.01098968964797411,-0.0361382358174338,0.013991394408447086,0.39178041097945104,72,1
family action MAE,numeric87 minus original_numeric,-0.026637612145483686,-0.049082912191012254,-0.005638670863310897,0.01814909254537273,72,0.41742912854357284
family action MAE,flow87 minus original_full,-0.0361685151253807,-0.06544644834535959,-0.007108168188794686,0.017149142542872857,72,0.41157942102894857
family action MAE,flow87 minus original_numeric,-0.051816437622890295,-0.08023736605541078,-0.024583089153343243,0.00044997750112494374,72,0.016199190040497975
family action MAE,pixels87 minus original_full,-0.01907371105192268,-0.049100310622493676,0.00901351845302591,0.20133993300334982,72,1
family action MAE,pixels87 minus original_numeric,-0.03472163354943228,-0.06290085957511478,-0.009369772233720878,0.012199390030498474,72,0.3171841407929603
family action MAE,vjepa87 minus original_full,-0.009047431071444213,-0.035379161970598004,0.017426179903871093,0.5000249987500625,72,1
family action MAE,vjepa87 minus original_numeric,-0.024695353568953797,-0.049229092297786,-0.0012135619496043632,0.0503974801259937,72,1
family action MAE,laplace minus original_full,0.4649092246466475,0.27127425048811893,0.6682969190873171,4.999750012499375e-05,72,0.0029498525073746312
family action MAE,laplace minus original_numeric,0.4492613021491379,0.2541333237922693,0.6537504306482417,4.999750012499375e-05,72,0.0029498525073746312
family action MAE,vlmfree_map minus original_full,0.4133504418044603,0.22061746447118236,0.6083671791682257,9.99950002499875e-05,72,0.003799810009499525
family action MAE,vlmfree_map minus original_numeric,0.3977025193069508,0.20343048391243002,0.5944117146402143,0.00014999250037498125,72,0.005549722513874306
family action MAE,qwen87 minus flow87,0.009361805689781226,-0.01053909800030606,0.03060504709817298,0.37728113594320284,72,1
family action MAE,qwen87 minus numeric87,-0.015817019787625366,-0.031135759598835733,0.0005673807237350719,0.05069746512674366,72,1
family action MAE,flow87 minus numeric87,-0.02517882547740659,-0.041655270561870315,-0.009874369228653665,0.0024998750062496873,72,0.0774961251937403
family action MAE,pixels87 minus numeric87,-0.008084021403948578,-0.02486718388961162,0.007148630032694663,0.3340332983350833,72,1
family action MAE,vjepa87 minus numeric87,0.0019422585765298966,-0.007353901906531525,0.011118531410853647,0.6882155892205389,72,1
